Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3.7v 800mAh Battery","for Standby power",1,2.34,"https://robu.in/product/wly102040-800mah-3-7v-single-cell-rechargeable-lipo-battery","Robu.in"
"toggle switch","For power on/off",1,0.41,"https://robu.in/product/mts-103r-miniature-toggle-switch-3pinon-off-on?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWckf5S_9ZmCJo0d1FgRauqu4&gclid=CjwKCAjw46HPBhAMEiwASZpLRJiGyuzp5pnrDYBU7STTRgNTqOYuoOCChx1JPJ3Qgo9REXlnBK-eGxoCxQgQAvD_BwE","Robu.in"
"1.8"" TFT LCD Display (ST7735)","The main display",1,2.98,"https://robu.in/product/62060?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWfl0wbwPT4ZVo9sxeeVs0M8Z&gclid=CjwKCAjw46HPBhAMEiwASZpLREHN-ZwtgzPun6ty0zZBy49wXYert2rmgCoFLBp-XJYnwC6HgCjXqBoC0ikQAvD_BwE","Robu.in"
"TP4056 charging module","charging the battery",1,1.08,"https://robu.in/product/smartelex-tp4056-li-ion-battery-charger?gad_source=1&gad_campaignid=18585959909&gbraid=0AAAAADvLFWfrJ3xCovt0r7l9S6XqJ1BKp&gclid=CjwKCAjw46HPBhAMEiwASZpLRP9y516A6miO9KXRb6paJ6OhS1eHHqFOWvFBAgt5LTM8CL7RC7pYSxoC4kEQAvD_BwE","Robu.in"
"Mechanical keyboard breakout switches","for play, pause, repeat rewind, forward, volume control",1,1.80,"https://neomacro.in/products/outemu-peach-v3-silent","Neo Macro"
"seeed studio esp32-c3","main brain and wifi",1,6.27,"https://www.google.com/aclk?sa=L&ai=DChsSEwi6iKP7moGUAxWZB3sHHVwSIK0YACICCAEQEhoCdG0&co=1&gclid=CjwKCAjw46HPBhAMEiwASZpLRD666aUOUCEpC1sDpOfgMxhmmYdjcuywyzqRLT0jIkqJaipnn6vFIhoCTwEQAvD_BwE&cid=CAAS0gHkaIr3ig-m99_G4looCDRtJ-9mqQ-zX30cDznRqQCEE4t10R9qpsCxIhKp36-5bJoRpeo1xiUY4p-5jkY4jj2GOnbdaN0Cb-0BEQ8ziPyC0gsy0AMnk7msa_r_8FC9--gOJBz5GzC-iFaUmJwVBK2phm8yk9WH9U73si2OAEIMS7MF0mMEVcQYlM2H_tZorz6miPNsFyEvxHe1M2VDdJpbi9JddrxBqaJ_PRPs607ovC6i8L1_ssVVgSCtEXmppM2QGlzDsgUGs3qrg5rpw02LaGU&cce=1&sig=AOD64_2eQ43xFfVPRIRTkoY8LiiDbJ1vHg&ctype=5&q=&ved=2ahUKEwjL35r7moGUAxXVnq8BHYU6E7gQ5bgDKAB6BAgIEBg&adurl=","Robu.in"
